Cliente, Honorario USD,Estado,Activo?,Estado Pago Mes
NicoGanamos | Panel 1,125,Activo,Sí,✅ PAGADO
Hydra Bet,,Pausado,No,—
NicoGanamos | Panel 2,,Pausado,No,—
Tello Games,175,Activo,Sí,✅ PAGADO
NicoGanamos | Panel 3,,Pausado,No,—
LyCans,,Pausado,No,—
C-Soft,500,Activo,Sí,❌ FALTA ABONAR
NicoGanamos | Panel 6,250,Activo,Sí,✅ PAGADO
Red 365,500,Activo,Sí,✅ PAGADO
Panel Pluton,500,Activo,Sí,✅ PAGADO
KINGDOM,,Pausado,No,—
AgusGanamos,,Pausado,No,—
GAMEE,,Pausado,No,—
NicoGanamos | Panel 7,250,Activo,Sí,✅ PAGADO
Cashboom,500,Activo,Sí,❌ FALTA ABONAR
BetOneGanamos,500,Activo,Sí,✅ PAGADO
GustavoGanamos,,Activo,Sí,❌ FALTA ABONAR
RedEstrella,400,Activo,Sí,✅ PAGADO